iter	Logloss
0	0.670058676
1	0.6485625803
2	0.6285416917
3	0.609913286
4	0.5922211419
5	0.5757689275
6	0.5604795525
7	0.5462693291
8	0.5330014929
9	0.5207273262
10	0.5095567426
11	0.4989331753
12	0.489065084
13	0.4798372884
14	0.4714907755
15	0.4635469053
16	0.4562836831
17	0.4495646759
18	0.4429888751
19	0.4370179058
20	0.4312824636
21	0.4261206214
22	0.4211822214
23	0.4167110457
24	0.4124267348
25	0.4085491223
26	0.4050321458
27	0.4015070039
28	0.3982634284
29	0.3953376977
30	0.3925389931
31	0.3899308596
32	0.3875309363
33	0.3852606737
34	0.3831660343
35	0.3810999529
36	0.3792757012
37	0.377478201
38	0.3758224093
39	0.3743130183
40	0.372825566
41	0.3715476148
42	0.3702243587
43	0.3690877963
44	0.3679493381
45	0.3669005198
46	0.3659192677
47	0.3650689916
48	0.3641922063
49	0.3634045668
50	0.362663101
51	0.3619492175
52	0.3612970523
53	0.3605787738
54	0.3599714887
55	0.3594096184
56	0.3588876016
57	0.3583868677
58	0.3579287114
59	0.3575156407
60	0.3569345579
61	0.3565679172
62	0.3561061099
63	0.3557579913
64	0.3554375679
65	0.3551549052
66	0.3547871745
67	0.3545198901
68	0.3539278865
69	0.3533489402
70	0.3528212353
71	0.3523256374
72	0.3518639681
73	0.3514407327
74	0.3510396972
75	0.350666546
76	0.3503071243
77	0.3499773471
78	0.3496722439
79	0.3493952836
80	0.3491239034
81	0.348861906
82	0.3486262142
83	0.3484067028
84	0.3481969586
85	0.3479963278
86	0.347810115
87	0.347640314
88	0.3474753564
89	0.3473444729
90	0.3471982352
91	0.3470589423
92	0.346946047
93	0.3468184536
94	0.346704687
95	0.3466025417
96	0.3465090026
97	0.3464111801
98	0.3463189027
99	0.3462441194
100	0.3461697249
101	0.3460908478
102	0.3460184427
103	0.3459568313
104	0.3458891659
105	0.3458279867
106	0.3457739327
107	0.3457160335
108	0.3455616422
109	0.3455184424
110	0.3453536049
111	0.3453157089
112	0.3452693362
113	0.3451984991
114	0.3451615701
115	0.3451252242
116	0.3450887477
117	0.3450598086
118	0.3450239574
119	0.3449897653
120	0.3449589538
121	0.3449333432
122	0.3449062104
123	0.3448781847
124	0.3448541929
125	0.3448330631
126	0.3448082153
127	0.3447846784
128	0.344764607
129	0.3447428538
130	0.3447254839
131	0.3447053536
132	0.3446426562
133	0.3446253101
134	0.3446098126
135	0.3445957468
136	0.3445820416
137	0.3445658782
138	0.3445527235
139	0.344538175
140	0.3444795669
141	0.3444652086
142	0.3444536142
143	0.3444416028
144	0.3444322605
145	0.3444215512
146	0.3444108858
147	0.3443172867
148	0.3443047129
149	0.344294894
