iter	Passed	Remaining
0	1406	209514
1	2715	200933
2	3778	185157
3	4832	176392
4	6202	179877
5	7294	175059
6	8531	174276
7	9741	172911
8	10903	170825
9	12056	168792
10	12896	162964
11	14064	161738
12	15117	159314
13	16283	158182
14	17340	156063
15	18389	154014
16	19487	152457
17	20606	151113
18	21677	149461
19	22759	147939
20	23772	146030
21	24813	144366
22	25796	142439
23	26514	139203
24	27579	137896
25	28653	136655
26	29267	133331
27	30312	132075
28	31408	131050
29	32152	128611
30	33252	127645
31	34292	126454
32	35385	125459
33	36576	124791
34	37759	124066
35	38836	122981
36	39791	121524
37	40829	120338
38	41847	119105
39	42935	118073
40	43936	116806
41	44709	114967
42	45713	113751
43	46711	112531
44	47787	111504
45	48738	110190
46	49746	109019
47	50617	107562
48	51625	106411
49	52621	105242
50	53635	104116
51	54697	103084
52	55816	102155
53	56853	101072
54	57835	99898
55	58801	98702
56	59911	97750
57	60959	96693
58	61970	95581
59	62921	94381
60	63974	93340
61	64977	92225
62	65967	91098
63	66951	89966
64	67915	88811
65	68941	87743
66	69959	86666
67	70993	85610
68	71957	84472
69	72957	83380
70	73974	82309
71	74953	81199
72	76016	80181
73	77085	79168
74	78111	78111
75	79239	77153
76	80295	76124
77	81351	75093
78	82340	74002
79	83196	72797
80	84201	71726
81	85168	70627
82	86241	69616
83	87219	68529
84	88215	67459
85	89182	66368
86	90162	65290
87	91168	64232
88	92219	63206
89	93194	62129
90	94235	61097
91	95197	60015
92	96135	58921
93	97099	57846
94	98072	56778
95	99054	55718
96	100034	54658
97	100983	53583
98	101933	52511
99	102937	51468
100	103909	50411
101	104919	49373
102	105881	48314
103	106901	47283
104	107964	46270
105	109006	45248
106	110001	44206
107	111005	43168
108	112047	42146
109	113049	41108
110	114109	40092
111	115109	39054
112	116111	38018
113	117148	36994
114	118156	35960
115	119142	34921
116	120162	33892
117	121138	32851
118	122101	31807
119	123106	30776
120	124132	29750
121	125151	28723
122	126171	27696
123	127145	26659
124	128114	25622
125	129055	24582
126	130034	23549
127	131031	22521
128	131976	21484
129	132956	20454
130	133924	19424
131	134916	18397
132	135942	17376
133	136936	16350
134	137985	15331
135	138983	14307
136	139965	13281
137	140995	12260
138	141990	11236
139	142972	10212
140	144015	9192
141	145043	8171
142	146031	7148
143	146978	6124
144	148031	5104
145	149000	4082
146	149996	3061
147	150961	2040
148	151963	1019
149	152984	0
